"filename", "language", "JSON", "JavaScript", "CSS", "JavaScript JSX", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\sina\Desktop\student-resource-hub\.prettierrc.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\sina\Desktop\student-resource-hub\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 14, 37
"c:\Users\sina\Desktop\student-resource-hub\api\admin\api.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\sina\Desktop\student-resource-hub\api\admin\category\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\sina\Desktop\student-resource-hub\api\admin\college\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\sina\Desktop\student-resource-hub\api\admin\course\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\sina\Desktop\student-resource-hub\api\admin\resource\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\sina\Desktop\student-resource-hub\api\admin\statistics\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\sina\Desktop\student-resource-hub\api\admin\stundents\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\sina\Desktop\student-resource-hub\api\user\api.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\sina\Desktop\student-resource-hub\api\user\auth\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\sina\Desktop\student-resource-hub\api\user\course\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\sina\Desktop\student-resource-hub\api\user\resource\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\sina\Desktop\student-resource-hub\app\admin\categories\page.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\sina\Desktop\student-resource-hub\app\admin\colleges\page.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\sina\Desktop\student-resource-hub\app\admin\courses\page.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\sina\Desktop\student-resource-hub\app\admin\page.jsx", "JavaScript JSX", 0, 0, 0, 70, 0, 0, 0, 4, 74
"c:\Users\sina\Desktop\student-resource-hub\app\admin\students\page.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\sina\Desktop\student-resource-hub\app\admin\teachers\page.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\sina\Desktop\student-resource-hub\app\dashboard\courses\[id]\page.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 7, 42
"c:\Users\sina\Desktop\student-resource-hub\app\dashboard\courses\page.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\sina\Desktop\student-resource-hub\app\dashboard\page.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\sina\Desktop\student-resource-hub\app\globals.css", "CSS", 0, 0, 155, 0, 0, 0, 1, 13, 169
"c:\Users\sina\Desktop\student-resource-hub\app\layout.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\sina\Desktop\student-resource-hub\app\not-found.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\sina\Desktop\student-resource-hub\app\page.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\sina\Desktop\student-resource-hub\app\sign-in\page.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 1, 6, 111
"c:\Users\sina\Desktop\student-resource-hub\app\sign-up\page.jsx", "JavaScript JSX", 0, 0, 0, 139, 0, 0, 1, 6, 146
"c:\Users\sina\Desktop\student-resource-hub\app\teacher\courses\page.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\sina\Desktop\student-resource-hub\app\teacher\createCourse\page.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\sina\Desktop\student-resource-hub\app\teacher\page.jsx", "JavaScript JSX", 0, 0, 0, 70, 0, 0, 0, 4, 74
"c:\Users\sina\Desktop\student-resource-hub\client\baseUrl.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\sina\Desktop\student-resource-hub\client\client.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\sina\Desktop\student-resource-hub\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\sina\Desktop\student-resource-hub\components\modules\ActionTable\AtctionTable.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 0, 3, 88
"c:\Users\sina\Desktop\student-resource-hub\components\modules\Card\Card.jsx", "JavaScript JSX", 0, 0, 0, 65, 0, 0, 0, 3, 68
"c:\Users\sina\Desktop\student-resource-hub\components\modules\DataTable\DataTable.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 0, 3, 5, 129
"c:\Users\sina\Desktop\student-resource-hub\components\modules\FileList\ListFile.jsx", "JavaScript JSX", 0, 0, 0, 130, 0, 0, 0, 11, 141
