Date : 2025-07-12 18:39:56
Directory : c:\Users\sina\Desktop\student-resource-hub
Total : 112 files,  10618 codes, 63 comments, 587 blanks, all 11268 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |         67 |      5,287 |         33 |        405 |      5,725 |
| JSON               |          4 |      4,099 |          0 |          3 |      4,102 |
| JavaScript         |         38 |      1,047 |         29 |        151 |      1,227 |
| CSS                |          1 |        155 |          1 |         13 |        169 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        112 |     10,618 |         63 |        587 |     11,268 |
| . (Files)                                                                                                 |          9 |      4,147 |         29 |         32 |      4,208 |
| api                                                                                                       |         11 |         70 |          0 |         12 |         82 |
| api\admin                                                                                                 |          7 |         42 |          0 |          8 |         50 |
| api\admin (Files)                                                                                         |          1 |         14 |          0 |          2 |         16 |
| api\admin\category                                                                                        |          1 |          4 |          0 |          1 |          5 |
| api\admin\college                                                                                         |          1 |          4 |          0 |          1 |          5 |
| api\admin\course                                                                                          |          1 |          6 |          0 |          1 |          7 |
| api\admin\resource                                                                                        |          1 |          6 |          0 |          1 |          7 |
| api\admin\statistics                                                                                      |          1 |          3 |          0 |          1 |          4 |
| api\admin\stundents                                                                                       |          1 |          5 |          0 |          1 |          6 |
| api\user                                                                                                  |          4 |         28 |          0 |          4 |         32 |
| api\user (Files)                                                                                          |          1 |          8 |          0 |          1 |          9 |
| api\user\auth                                                                                             |          1 |          4 |          0 |          1 |          5 |
| api\user\course                                                                                           |          1 |         11 |          0 |          1 |         12 |
| api\user\resource                                                                                         |          1 |          5 |          0 |          1 |          6 |
| app                                                                                                       |         18 |        719 |          3 |         64 |        786 |
| app (Files)                                                                                               |          4 |        195 |          1 |         19 |        215 |
| app\admin                                                                                                 |          6 |        128 |          0 |         14 |        142 |
| app\admin (Files)                                                                                         |          1 |         70 |          0 |          4 |         74 |
| app\admin\categories                                                                                      |          1 |         12 |          0 |          2 |         14 |
| app\admin\colleges                                                                                        |          1 |         12 |          0 |          2 |         14 |
| app\admin\courses                                                                                         |          1 |         12 |          0 |          2 |         14 |
| app\admin\students                                                                                        |          1 |         10 |          0 |          2 |         12 |
| app\admin\teachers                                                                                        |          1 |         12 |          0 |          2 |         14 |
| app\dashboard                                                                                             |          3 |         63 |          0 |         11 |         74 |
| app\dashboard (Files)                                                                                     |          1 |         15 |          0 |          2 |         17 |
| app\dashboard\courses                                                                                     |          2 |         48 |          0 |          9 |         57 |
